Date,Open,High,Low,Close,Volume
2016-12-01,19149.2,19214.3,19138.79,19191.93,108805456
2016-12-02,19161.25,19196.14,19141.18,19170.42,84923904
2016-12-05,19244.35,19274.85,19186.73,19216.24,92689240
2016-12-06,19219.91,19255.89,19184.74,19251.78,77807744
2016-12-07,19241.99,19558.42,19229.83,19549.62,112146528
2016-12-08,19559.94,19664.97,19527.83,19614.81,89787984
2016-12-09,19631.35,19757.74,19623.19,19756.85,91809664
2016-12-12,19770.2,19824.59,19747.74,19796.43,99770560
2016-12-13,19852.21,19953.75,19846.45,19911.21,99395256
2016-12-14,19876.13,19966.43,19748.67,19792.53,113293648
2016-12-15,19811.5,19951.29,19811.5,19852.24,93316328
2016-12-16,19909.01,19923.17,19821,19843.41,263537808
2016-12-19,19836.66,19917.78,19832.95,19883.06,85520704
2016-12-20,19920.59,19987.63,19920.42,19974.62,80816232
2016-12-21,19968.97,19986.56,19941.96,19941.96,71714688
2016-12-22,19922.68,19933.83,19882.19,19918.88,78050320
2016-12-23,19908.61,19934.15,19899.06,19933.81,47038200
2016-12-27,19943.46,19980.24,19939.8,19945.04,49056616
2016-12-28,19964.31,19981.11,19827.31,19833.68,58764280
2016-12-29,19835.46,19878.44,19788.94,19819.78,52675576
2016-12-30,19833.17,19852.55,19718.67,19762.6,103790112
2017-01-03,19872.86,19938.53,19775.93,19881.76,99921304
2017-01-04,19890.94,19956.14,19878.83,19942.16,81182120
2017-01-05,19924.56,19948.6,19811.12,19899.29,72358912
2017-01-06,19906.96,19999.63,19834.08,19963.8,75691024
2017-01-09,19931.41,19943.78,19887.38,19887.38,84808840
2017-01-10,19876.35,19957.12,19836.03,19855.53,91544736
2017-01-11,19887.38,19973.42,19833.16,19954.28,91098040
2017-01-12,19926.21,19929.29,19770.47,19891,77018792
2017-01-13,19912.54,19952.03,19849.38,19885.73,74988296
2017-01-17,19848.82,19882.99,19775.35,19826.77,95360448
2017-01-18,19822.73,19828.2,19739,19804.72,74543184
2017-01-19,19813.55,19824.14,19677.94,19732.4,79208256
2017-01-20,19795.06,19843.94,19759.14,19827.25,145548752
